Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,6.25,97.371
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,12.5,100.6323
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,25,81.2978
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,50,67.3211
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,100,21.4309
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,0,100
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,0.01,99.7959
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,0.1,97.8061
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,1,98.4184
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,5,85.5612
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,10,88.3163
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,20,41.6327
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,50,15
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,48 h,100,11.7857
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,0,100
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,0.01,94.4388
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,0.1,98.2653
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,1,93.3673
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,5,90
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,10,89.8469
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,20,60.1531
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,50,15.9184
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,24 h,100,12.7041
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,0,100
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,0.01,101.0204
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,0.1,92.1429
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,1,95.2041
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,5,91.9898
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,10,76.8367
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,20,50.2041
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,50,13.4694
,article,28326861,Oxide,ZnO,Beijing DK nano technology,30,,,,,,MTT,HFSC,Human,Skin,12 h,100,11.9388
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,0,100
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,1,102.7803
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,3,99.7309
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,10,102.7803
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,30,57.9372
